word,pos,synonym
น้ำ,n,คงคา|คงคาลัย|ชล|ชลชาติ|ชลัมพุ|ชลาลัย|โดย|โตย|ทก|นิระ|เนียร|บาน|บานิโยทก|บานีโยทก|ปานะ|วาริ|วารี|สลิล|สินธุ|สินธุ์|สินธู|อัมพุ|อาปะ|อาโป|อุทก
แม่น้ำ,n,ลำน้ำ|สายน้ำ|ท้องน้ำ|ห้วงน้ำ|ทะเล|สมุทร|กระสินธุ|กุนที|คงคา|คงคาลัย|คลอง|แคว|จทึง|ฉทึง|ชทึง|ชรทึง|สทิง|สทึง|สรทึง|ชลธาร|ชลธารก|ชลธิศ|ชลธี|ชลาลัย|ชลาสินธุ์|ชโลทร|ธาร|ธารา|นที|มหรณพ|มหรรณพ|มหารณพ|ยมนา|รัตนากร|ลำธาร|ลำกระโดง|ลำประโดง|ลำห้วย|วหา|วาหินี|สริตะ|สาคร|สาคเรศ|สินธุ|สินธุ์|สินธู|อรรณพ|อุทกธารา|โอฆะ
ลม,n,ขยล|พระพาย|มารุต|วาตะ|วายุ|วาโย|อนิละ
ไฟ,n,กราน|กูณฑ์|ชวาล|ชาลา|ฑาหะ|เดช|เดโช|เตช|เตโช|เพลิง|ปาวกะ|ศิขา|สิขา|สิขี|อัคคี|อัคนี|อัจจิ
ดวงอาทิตย์,n,พระอาทิตย์|ตะวัน|ไถง|รวิ|รวี|รพิ|รพี|รำไพ|สุริยะ|สุริยา|สุริยัน|สุริยน|สุริยง|สุรีย์|สุริยมณฑล|สูรยมณฑล|สูรยพิมพ์|อักกะ|ทิพากร|ทิวากร|ทินกร|ภากร|ภาสกร|อาภากร|ประภากร|ภาณุ|ภาณุมาศ|รังสิมันตุ์|รังสิมา|อังศุธร|อังศุมาลี|พันแสง|จาตุรนต์รัศมี|สหัสรังสี|อุษณกร|อุษณรัศมี|อุษณรุจี|อุษณรศมัย
ดวงจันทร์,n,พระจันทร์|เดือน|แข|แถง|บุหลัน|โสม|สุมะ|พิธุ|วิธู|มาส|อินทุ|จันทรพิมพ์|จันทรมณฑล|ศศธร|ศศพินทุ์|ศศลักษณ์|ศศิ|ศศิน|ศศี|ศศิธร|ศศิมณฑล|ตโมหร|มนทกานติ|สีตลรัศมี|สิตางศุ์|โทษากร|นิศากร|นิศานาถ|นิศาบดี|นิศามณี|นิศารัตน์|รัชนีกร|ปักษธร|กัษษากร|ศิวเศขร
ดวงดาว,n,ชุติ|ดารา|ดารกะ|นักษัตร|ผกาย
ทิศเหนือ,n,ข้างตีน|อุดร|อุตดร|อุตรทิศ
ทิศใต้,n,ข้างหัวนอน|ทิกขิณทิศ|ทักขิณา|ทักษิณ|ทักษิณา|หัวนอน|อปาจี|อปาจีน|อวาจี
ทิศตะวันออก,n,ข้างออก|บุรพทิศ|บุรัตถิมทิศ|บุริมทิศ|บูรพาทิศ|ปราจีน|ปาจีน
ทิศตะวันตก,n,ข้างตก|ประจิม|ปรัศจิมทิศ|ปัจฉิมทิศ|ปัศจิมทิศ|ทิศอัสดงคต
ฤดูฝน,n,พรรษฤดู|วรรษา|วัสสะ|วัสสานฤดู|วัสสานะ
ฤดูหนาว,n,เดือนเย็น|ศิศีระ|ศีตกาล|หน้าหนาว|เหมันต์|เหมันตฤดู
แผ่นดิน,n,กษมา|ฉมา|ธรณิน|ธรณี|ธรา|ธราดล|ธริษตรี|ธเรษตรี|ธาตรี|ธาษตรี|ปฐวี|ปฐพี|ปัถพี|ปัถวี|พสุธา|พสุธาดล|พสุนธรา|พสุมดี|ภพ|ภูดล|ภูมิ|ภูวดล|มหิ|มหิดล|เมทนี|เมทินี|โลกธาตุ|วสุนทรา|หล้า|อจลา|อุรพี
ป่า,n,ชัฏ|ดง|เถื่อน|ป่าไม้|พง|พงพนา|พงพี|พงไพร|พนัส|พนา|พนาดร|พนาดอน|พนาลัย|พนาวัน|พนาเวศ|พนาสณฑ์|พนาสัณฑ์|ไพร|ไพรวัน|ไพรสณฑ์|ไพรสัณฑ์|ไพรสาณฑ์|วนา|วนาดร|วนาดอน|วนาลัย|วนาสณฑ์|วนาสัณฑ์|อรัญ|อรัญญิก
ภูเขา,n,คีรี|นคะ|บรรพต|พนม|ภู|ภูผา|ศิขริน|ศิขรี|ศิงขร|ศิงขริน|ศิงขรี|ไศล|สิขร|สิขรี|สิงขร
เมฆ,n,นภจร|ปโยธร|ปัชชุน|พลาหก|เมฆา|เมฆินทร์|เมฆี|วลาหก|วาริท|วาริธร|อัมพุท
ฝน,n,เผลียง|พรรษ|พลาหก|พิรุณ|วรรษ|วัสสะ|วุฐิ
ท้องฟ้า,n,คคนะ|คคนัมพร|คคนางค์|คคนานต์|ดาราบถ|ทิฆัมพร|ไทวะ|นภดล|นภมณฑล|นภา|นภาลัย|นักษัตรบถ|โพยม|โพยมัน|โพยมาน|ลางงิด|วยัมหะ|เวหน|เวหา|เวหาส|เวหายส|สรวง|สันรวง|สุรบถ|หาว|อัมพร|อากาศ
สวรรค์,n,กระยาหงัน|ไกพัล|ไกวัล|ไตรทิพย์|ไตรทศาลัย|เทวโลก|ไทวะ|เมืองฟ้า|เมืองแมน|เมืองอมร|ลางงิด|วยัมหะ|สรวง|สันรวง|สัค|สัคคะ|สุขาวดี|สุคติ|สุรบถ|สุรโลก|สุราลัย
นรก,n,ทุคติ|นรกานต์|ยมโลก
พระพุทธเจ้า,n,พระสัมมาสัมพุทธเจ้า|พระสัพพัญญู|พระโลกนาถ|พระสุคต|พระผู้มีพระภาคเจ้า|ชินศรี|พระสมณโคดม|พระศากยมุนี|พระธรรมราช|พระชินสีห์|พระทศญาณ|มารชิต|โลกชิต|พระทศพลญาณ|พระตถาคต|พระชินวร
เทวดา,n,เทพ|เทวินทร์|อมร|สุรารักษ์|แมน|เทว|เทวัญ|นิรชรา|เทวา|ไตรทศ|ปรวาณ|สุร
นางฟ้า,n,เทพธิดา|เทวี|นางสวรรค์|รัมภา|อัจฉรา|อัปสร|สุรางคนา|นิรชรา
พระพรหม,n,กมลาสน์|กัมลาศ|ครรไลหงส์|จตุรพักตร์|จัตุรพักตร์|ธาดา|ปรเมษฐ์|ประชานาถ|ปิตามหะ|พรหมธาดา|พรหมา|พรหมินทร์|พรหเมนทร์|พรหเมศวร|หงสรถ
พระอิศวร,n,ศิวะ|ศุลี|มหาเทพ|สยมภู|ภูเตศวร|จันทรเศขร|ศังกร
พระนารายณ์,n,วิษณุ|จักรปาณี|จักรี|ธราธร|ธราธาร
